"name","label","value","options","type"
"pump_station","Параметры станции",,,"divider"
"number_of_pumps","Количество насосов",,,"field_text"
"engine_type","Тип двигателя",,"Электродвигатель переменного тока 380В, трехфазный, 50 Гц=Электродвигатель переменного тока 380В, трехфазный, 50 Гц\r\nЭлектродвигатель переменного тока 220В, однофазный, 50 Гц=Электродвигатель переменного тока 220В, однофазный, 50 Гц\r\nЭлектродвигатель переменного тока взрывозащищенный=Электродвигатель переменного тока взрывозащищенный\r\nБензодвигатель=Бензодвигатель\r\nПневмодвигатель=Пневмодвигатель","field_select"
"type_of_distributor_management","Вид управления",,"Ручное=Ручное\r\nЭлектромагнитное=Электромагнитное\r\nПневматическое=Пневматическое\r\nГидравлическое=Гидравлическое\r\nБез распределителя=Без распределителя","field_select"
"type_of_remote_control","Тип пульта",,"На станции=На станции\r\nДистанционный=Дистанционный\r\nНожной=Ножной\r\nРадиоуправление=Радиоуправление","field_select"
"rated_pressure","Номинальное давление (МПа)",,,"field_text"
"rated_consumption","Номинальный расход (л\/мин.)",,,"field_text"
"type_of_distributor","Тип распределителя",,"Трехпозиционный четырехлинейный гидрораспределитель=Трехпозиционный четырехлинейный гидрораспределитель\r\nДвухпозиционный четырехлинейный гидрораспределитель=Двухпозиционный четырехлинейный гидрораспределитель\r\nРазгрузочный кран=Разгрузочный кран","field_select"
"tank_capacity","Объем бака (лит.)",,,"field_text"
"oil_supply","Подача масла",,"Одноступенчатая=Одноступенчатая\r\nДвухступенчатая=Двухступенчатая\r\nТрехступенчатая=Трехступенчатая","field_select"
"heating_oil","Подогрев масла","Да",,"field_checkbox"
"checking_oil_level","Контроль уровня масла",,"Визуальный=Визуальный\r\nЭлектронный=Электронный","field_select"
"cooling","Охлаждение",,"Без охлаждения=Без охлаждения\r\nВоздушное=Воздушное\r\nВодяное=Водяное","field_select"
"wheels_for_transportation","Колеса для транспортировки","Да",,"field_checkbox"
"control_cabinet","Установка шкафа управления","Да",,"field_checkbox"
"winter_start","Зимний пуск","Да",,"field_checkbox"
"mode_of_operation","Режим работы",,"Продолжительный=Продолжительный\r\nКратковременный=Кратковременный","field_select"
"climatic_performance","Климатическое исполнение (ГОСТ 15150-69)",,"У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М","field_select"
"product_cat","Категория изделия (ГОСТ 15150-69)",,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1","field_select"
"manometer","Манометр",,"Аналоговый=Аналоговый\r\nЦифровой=Цифровой\r\nЭлектроконтактный=Электроконтактный","field_select"
"cable_length_remote_control","Длина кабеля для дистанционного пульта управления (метров)",,,"field_text"
"comments_to_the_order","Коментарии к заказу",,,"field_textarea"
"attached_file","Прикрепить файл",,,"field_file"
"hydraulic_jack","Домкрат гидравлический",,,"divider"
"carrying","Грузоподъемность, тc",,,"field_text"
"stock_stroke","Ход штока, мм",,,"field_text"
"stock_return_type","Возврат штока",,"Пружинный=Пружинный\r\nГидравлический=Гидравлический\r\nГравитационный=Гравитационный","field_select"
"material","Материал",,"Сталь=Сталь\r\nАлюминий=Алюминий","field_select"
"working_pressure","Рабочее давление, Мпа",,,"field_text"
"thread_the_inlet_hole","Резьба подводящего отверстия",,,"field_text"
"case_diameter","Диаметр корпуса, мм",,,"field_text"
"the_height_of_the_jack_with_support","Высота домкрата с опорой, мм",,,"field_text"
"external_thread_on_the_body","Резьба наружная на корпусе",,,"field_text"
"number_of_holes_in_the_bottom","Количество отверстий в дне",,,"field_text"
"thread_in_the_bottom","Резьба в дне, мм",,,"field_text"
"thread_in_stock","Резьба в штоке, мм",,,"field_text"
"thread_on_the_rod","Резьба на штоке, мм",,,"field_text"
"support_on_the_rod","Опора на штоке",,"Плавающая=Плавающая\r\nРифленная=Рифленная\r\nНет=Нет","field_select"
"number_of_spacers","Количество проставок",,,"field_text"
"spacer_height","Высота проставок, мм",,,"field_text"
"the_presence_of_a_locking_nut_on_the_rod","Наличие фиксирующей гайки на штоке","Да",,"field_checkbox"
"the_number_of_stocks","Количество штоков",,,"field_text"
"diameter_of_the_hole_in_the_rod","Диаметр отверстия в штоке,мм",,,"field_text"
"operating_mode","Режим работы",,"Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный","field_select"
"climatic_performance","Климатическое исполнение (ГОСТ 15150-69)",,"У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М","field_select"
"product_cat","Категория изделия (ГОСТ 15150-69)",,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1","field_select"
"comments_to_the_order","Коментарии к заказу",,,"field_textarea"
"attachment","Прикрепить файл",,,"field_file"
"mechanical_jack","Домкрат механический",,,"divider"
"carrying","Грузоподъемность, тc",,,"field_text"
"lifting_height","Высота подъема, мм",,,"field_text"
"jack_height","Высота домкрата, мм",,,"field_text"
"material","Материал",,"Сталь=Сталь\r\nАлюминий=Алюминий","field_select"
"operating_mode","Режим работы",,"Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный","field_select"
"climatic_performance","Климатическое исполнение (ГОСТ 15150-69)",,"У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М","field_select"
"product_cat","Категория изделия (ГОСТ 15150-69)",,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1","field_select"
"comments_to_the_order","Коментарии к заказу",,,"field_textarea"
"attachment","Прикрепить файл",,,"field_file"
"hydraulic_puller","Съемник гидравлический",,,"divider"
"carrying","Усилие, тc",,,"field_text"
"stock_stroke","Ход штока, мм",,,"field_text"
"stock_return_type","Возврат штока",,"Пружинный=Пружинный\r\nГидравлический=Гидравлический\r\nГравитационный=Гравитационный","field_select"
"the_number_of_captures","Количество захватов",,"2=2\r\n3=3\r\n4=4","field_select"
"centering","Центрирование",,"Ручное=Ручное\r\nТраверсное=Траверсное","field_select"
"drive","Привод",,"Выносной=Выносной\r\nВстроенный=Встроенный","field_select"
"the_design_of_the_grips","Конструкция захватов",,"Лаповая=Лаповая\r\nХомут=Хомут\r\nШпилька=Шпилька","field_select"
"external_gripper_diameter_min","Венешний диаметр захвата (мм) мин",,,"field_text"
"the_external_diameter_of_grip_max","Внешний диаметр захвата (мм) макс",,,"field_text"
"inner_diameter_of_the_gripper_min","Внутренний диаметр захвата (мм) мин",,,"field_text"
"inner_diameter_of_the_gripper_max","Внутренний диаметр захвата (мм) макс",,,"field_text"
"depth_of_capture_min","Глубина захвата (мм) мин",,,"field_text"
"gripping_depth_max","Глубина захвата (мм) макс",,,"field_text"
"working_pressure","Рабочее давление, Мпа",,,"field_text"
"thread_the_inlet_hole","Резьба маслоподводящего отверстия",,,"field_text"
"operating_mode","Режим работы",,"Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный","field_select"
"climatic_performance","Климатическое исполнение (ГОСТ 15150-69)",,"У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М","field_select"
"product_cat","Категория изделия (ГОСТ 15150-69)",,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1","field_select"
"comments_to_the_order","Коментарии к заказу",,,"field_textarea"
"attachment","Прикрепить файл",,,"field_file"
"mechanical_puller","Съемник механический",,,"divider"
"carrying","Усилие, тc",,,"field_text"
"screw_stroke","Ход винта, мм",,,"field_text"
"the_number_of_captures","Количество захватов",,"2=2\r\n3=3\r\n4=4","field_select"
"centering","Центрирование",,"Ручное=Ручное\r\nТраверсное=Траверсное","field_select"
"the_design_of_the_grips","Конструкция захватов",,"Лаповая=Лаповая\r\nХомут=Хомут\r\nШпилька=Шпилька","field_select"
"external_gripper_diameter_min","Венешний диаметр захвата (мм) мин",,,"field_text"
"the_external_diameter_of_grip_max","Внешний диаметр захвата (мм) макс",,,"field_text"
"inner_diameter_of_the_gripper_min","Внутренний диаметр захвата (мм) мин",,,"field_text"
"inner_diameter_of_the_gripper_max","Внутренний диаметр захвата (мм) макс",,,"field_text"
"depth_of_capture_min","Глубина захвата (мм) мин",,,"field_text"
"gripping_depth_max","Глубина захвата (мм) макс",,,"field_text"
"operating_mode","Режим работы",,"Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный","field_select"
"climatic_performance","Климатическое исполнение (ГОСТ 15150-69)",,"У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М","field_select"
"product_cat","Категория изделия (ГОСТ 15150-69)",,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1","field_select"
"comments_to_the_order","Коментарии к заказу",,,"field_textarea"
"attachment","Прикрепить файл",,,"field_file"
